Cliente,Año,Activos_Iniciales_millones,Ingresos_Netos_millones,Gastos_Operativos_millones,Margen_Financiero_Neto_millones,Fondos_Disponibles_millones,Depositos_Corto_Plazo_millones,Prestamos_Totales_millones,Prestamos_Morosos_millones,Activos_Finales_millones,Patrimonio_millones,Captaciones_Iniciales_millones,Captaciones_Finales_millones,Cartera_Inicial_millones,Cartera_Final_millones,Provisiones_Iniciales_millones,Provisiones_Finales_millones,Activos_Finales_millones_promedio,Eficiencia_Gasto_Operativo,Gasto_personal,ROA,Liquidez_de_Corto_Plazo,Tasa_de_Morosidad,Grado_Absorción,Solvencia_Patrimonial,Porcentaje_Crecimiento_Captaciones,Porcentaje_Crecimiento_Cartera,Porcentaje_Crecimiento_Provisiones
Cliente_26,2006,7354.555,8.317,26.194,8.341,28.968,5.489,13.995,1.468,2474.718,690.853,26.514,36.156,807.909,268.205,1.208,5.936,5018.055,-2.149,314.944,0.002,5.277,10.492,3.140,0.279,36.366,-66.803,391.419
Cliente_26,2018,8727.552,8.069,15.233,7.786,62.291,2.895,20.798,4.142,2842.469,60.976,2.964,67.646,338.051,645.000,7.550,1.237,5248.009,-0.888,188.785,0.002,21.518,19.916,1.957,0.021,2182.489,90.800,-83.612
Cliente_26,2008,2068.580,8.821,29.547,6.209,39.289,7.306,19.432,3.330,6265.180,814.004,13.003,49.262,631.642,271.977,6.958,4.573,5765.334,-2.350,334.959,0.002,5.377,17.138,4.759,0.130,278.864,-56.941,-34.277
Cliente_26,2005,2028.463,7.707,27.564,10.452,65.150,4.351,27.289,2.953,1313.640,477.063,86.869,73.916,572.066,445.453,9.464,7.885,4920.368,-2.576,357.634,0.002,14.974,10.823,2.637,0.363,-14.911,-22.132,-16.684
Cliente_26,2023,2497.705,5.211,9.128,3.035,33.373,8.689,25.235,3.707,8385.339,630.232,96.349,89.074,849.052,862.944,7.306,1.749,5423.356,-0.752,175.152,0.001,3.841,14.691,3.008,0.075,-7.551,1.636,-76.058
Cliente_26,2021,6186.350,7.411,7.441,14.659,59.371,3.517,15.834,2.521,286.684,450.405,20.697,38.726,72.273,363.802,1.721,3.362,5050.433,-0.004,100.394,0.001,16.883,15.921,0.508,1.571,87.111,403.373,95.403
Cliente_26,2006,1560.800,8.103,17.723,10.625,31.343,2.619,48.366,3.241,6635.828,335.322,58.014,29.366,162.837,587.333,2.502,2.397,5018.055,-1.187,218.716,0.002,11.967,6.701,1.668,0.051,-49.381,260.687,-4.185
Cliente_26,2015,1067.786,7.462,2.570,7.171,52.421,2.180,15.982,1.867,8603.828,361.601,65.264,63.540,228.990,965.561,1.927,6.893,4996.377,0.656,34.447,0.001,24.044,11.681,0.358,0.042,-2.642,321.661,257.716
Cliente_26,2023,9201.961,9.927,24.179,10.494,65.178,6.183,42.227,4.978,3252.688,560.790,18.279,15.340,317.561,414.575,1.574,8.969,5423.356,-1.436,243.571,0.002,10.541,11.789,2.304,0.172,-16.080,30.550,469.790
Cliente_27,2015,5908.718,5.448,20.945,13.291,81.996,1.993,21.285,1.715,5436.662,895.803,20.719,74.728,434.727,155.837,2.385,1.192,4996.377,-2.845,384.475,0.001,41.138,8.057,1.576,0.165,260.676,-64.153,-50.019
Cliente_27,2014,4565.978,6.539,15.266,6.838,65.189,5.098,15.002,2.136,3237.485,250.829,73.797,55.408,16.053,771.026,5.827,4.400,4789.817,-1.334,233.449,0.001,12.787,14.242,2.233,0.077,-24.918,4703.112,-24.493
Cliente_27,2017,7489.367,7.061,22.909,4.123,72.453,5.075,27.537,0.441,4684.479,382.196,10.302,13.092,794.596,249.474,1.967,7.520,5183.146,-2.244,324.439,0.001,14.277,1.603,5.556,0.082,27.081,-68.604,282.380
Cliente_27,2008,8773.060,5.779,9.689,10.867,34.468,7.304,10.328,0.261,8676.751,13.603,66.935,48.642,585.112,500.419,5.391,3.256,5765.334,-0.677,167.666,0.001,4.719,2.524,0.892,0.002,-27.330,-14.475,-39.593
Cliente_27,2017,4350.339,5.053,23.210,9.867,68.361,5.428,13.608,2.077,5987.201,974.624,21.636,30.582,396.412,686.259,3.851,1.355,5183.146,-3.594,459.355,0.001,12.594,15.261,2.352,0.163,41.348,73.117,-64.801
Cliente_27,2014,6398.225,7.617,24.141,12.512,57.875,3.886,10.589,0.400,8605.748,714.968,39.523,36.682,243.846,339.084,6.025,7.360,4789.817,-2.170,316.953,0.002,14.894,3.776,1.929,0.083,-7.188,39.056,22.148
Cliente_27,2004,5338.308,8.791,18.313,3.699,34.194,2.369,18.688,1.133,1604.274,385.413,96.160,6.157,968.866,969.682,6.802,6.031,4929.029,-1.083,208.305,0.002,14.432,6.064,4.951,0.240,-93.597,0.084,-11.329
Cliente_27,2022,9089.323,5.682,24.106,1.649,26.920,9.727,26.810,2.267,5311.843,974.997,93.685,67.003,581.496,759.801,4.126,5.885,5055.648,-3.243,424.294,0.001,2.767,8.456,14.623,0.184,-28.481,30.663,42.627
Cliente_27,2017,4817.035,6.434,16.898,9.567,16.162,1.199,41.429,4.690,4494.393,247.915,16.703,97.354,691.061,60.992,9.026,5.411,5183.146,-1.626,262.646,0.001,13.477,11.321,1.766,0.055,482.870,-91.174,-40.054
Cliente_27,2005,2272.057,7.675,6.469,7.991,22.296,9.751,29.936,1.332,8194.366,994.541,73.095,24.361,688.718,356.162,7.599,6.100,4920.368,0.157,84.275,0.002,2.287,4.450,0.809,0.121,-66.673,-48.286,-19.719
Cliente_28,2017,6197.726,5.771,4.105,10.909,90.139,5.675,39.844,5.376,6736.679,826.329,1.019,77.381,265.723,483.051,8.021,9.358,5183.146,0.289,71.129,0.001,15.882,13.493,0.376,0.123,7491.061,81.787,16.666
Cliente_28,2011,3641.388,6.416,6.557,0.690,83.982,1.911,40.651,4.530,9973.676,324.127,4.432,94.391,889.736,488.788,9.297,6.705,4774.942,-0.022,102.201,0.001,43.946,11.144,9.506,0.032,2029.950,-45.064,-27.879
Cliente_28,2014,6202.353,7.049,1.923,13.855,81.482,3.079,33.063,4.099,9710.431,241.482,29.164,82.411,250.607,899.125,4.010,6.690,4789.817,0.727,27.276,0.001,26.463,12.398,0.139,0.025,182.582,258.779,66.847
Cliente_28,2000,3207.620,6.610,19.611,10.008,15.247,4.468,36.980,6.929,7528.649,546.081,2.614,91.992,256.988,703.145,8.918,1.487,4620.370,-1.967,296.678,0.001,3.413,18.737,1.959,0.073,3419.286,173.611,-83.324
Cliente_28,2020,634.354,5.481,12.269,13.962,65.524,2.738,38.102,6.914,5752.973,375.688,14.373,51.616,301.002,819.696,4.909,5.719,4893.708,-1.238,223.841,0.001,23.931,18.147,0.879,0.065,259.105,172.322,16.516
Cliente_28,2016,9671.664,8.294,15.207,12.565,57.612,6.912,27.083,3.101,901.739,550.688,89.142,57.496,570.917,96.269,9.372,3.874,4857.693,-0.833,183.344,0.002,8.335,11.452,1.210,0.611,-35.501,-83.138,-58.667
Cliente_28,2012,8190.678,5.219,19.095,7.287,76.087,6.130,14.164,2.824,4319.925,744.834,1.650,57.590,569.496,642.612,2.085,6.084,4846.471,-2.659,365.885,0.001,12.412,19.940,2.620,0.172,3389.613,12.839,191.828
Cliente_28,2023,1899.505,9.689,18.119,9.764,85.101,9.528,41.698,7.111,7863.897,360.649,98.455,10.334,218.220,38.334,7.934,3.941,5423.356,-0.870,187.003,0.002,8.932,17.052,1.856,0.046,-89.503,-82.433,-50.319
Cliente_28,2005,6832.559,5.893,2.423,5.733,17.014,6.026,31.999,2.827,1480.976,452.951,22.267,46.577,78.124,808.533,7.729,7.280,4920.368,0.589,41.123,0.001,2.824,8.835,0.423,0.306,109.169,934.930,-5.812
Cliente_28,2000,7657.575,5.156,7.401,11.280,29.431,6.023,30.188,3.934,3362.346,959.865,32.176,16.455,325.367,382.165,8.645,2.379,4620.370,-0.435,143.530,0.001,4.886,13.032,0.656,0.285,-48.860,17.456,-72.485
Cliente_29,2015,4345.477,6.212,20.007,10.438,40.894,6.607,37.861,2.483,1316.327,199.676,68.747,99.046,872.829,581.450,6.906,3.868,4996.377,-2.221,322.090,0.001,6.189,6.557,1.917,0.152,44.073,-33.383,-43.989
Cliente_29,2018,6979.007,6.331,23.321,2.762,82.385,9.931,20.851,3.708,262.956,966.825,36.182,94.470,686.837,684.365,6.084,9.756,5248.009,-2.683,368.342,0.001,8.296,17.785,8.444,3.677,161.092,-0.360,60.367
Cliente_29,2023,7620.567,7.150,5.908,11.063,37.461,7.256,28.598,2.386,9859.570,561.127,30.930,94.963,417.916,203.108,2.422,9.651,5423.356,0.174,82.631,0.001,5.163,8.344,0.534,0.057,207.021,-51.400,298.392
Cliente_29,2001,4809.744,8.424,11.142,1.744,52.407,7.014,47.807,9.378,6169.848,712.757,99.603,23.333,573.326,138.972,1.610,3.730,5252.968,-0.323,132.267,0.002,7.471,19.616,6.387,0.116,-76.574,-75.760,131.638
Cliente_29,2017,1981.887,7.880,24.826,11.224,39.869,4.389,12.664,1.350,6056.440,40.713,97.880,34.837,427.039,688.844,5.797,7.710,5183.146,-2.150,315.046,0.002,9.083,10.662,2.212,0.007,-64.409,61.307,33.016
Cliente_29,2012,3953.793,5.563,24.281,4.024,76.601,9.154,36.415,5.274,6124.008,922.348,28.312,39.892,313.070,898.745,7.475,8.395,4846.471,-3.365,436.502,0.001,8.368,14.484,6.034,0.151,40.901,187.074,12.312
Cliente_29,2008,5713.735,7.068,19.072,9.505,29.069,5.741,36.519,6.637,5964.011,305.623,7.139,14.589,605.764,909.653,2.657,6.732,5765.334,-1.698,269.843,0.001,5.063,18.174,2.007,0.051,104.355,50.166,153.334
Cliente_29,2002,5612.115,6.826,13.773,2.641,59.178,3.299,46.515,4.748,2309.893,490.443,26.510,73.259,449.720,430.634,8.556,7.645,5226.441,-1.018,201.769,0.001,17.938,10.209,5.215,0.212,176.342,-4.244,-10.644
Cliente_29,2012,9970.791,5.952,27.802,12.570,77.532,1.541,24.409,3.013,261.819,744.646,39.330,52.551,132.640,909.093,2.310,2.368,4846.471,-3.671,467.071,0.001,50.313,12.345,2.212,2.844,33.616,585.382,2.507
Cliente_29,2016,5242.954,6.723,7.771,4.671,59.392,2.806,14.316,0.383,795.675,19.354,99.995,68.121,652.820,770.280,1.265,2.691,4857.693,-0.156,115.598,0.001,21.164,2.672,1.664,0.024,-31.875,17.993,112.700
Cliente_30,2015,4914.965,8.789,2.213,8.049,66.758,5.653,26.542,4.282,5246.937,949.804,71.493,26.058,80.326,37.684,6.500,4.317,4996.377,0.748,25.179,0.002,11.810,16.133,0.275,0.181,-63.552,-53.085,-33.581
Cliente_30,2004,1375.990,5.331,22.325,7.048,14.437,2.280,28.035,4.107,6958.599,379.300,42.539,46.406,600.502,853.975,7.224,4.410,4929.029,-3.188,418.795,0.001,6.331,14.649,3.167,0.055,9.091,42.210,-38.944
Cliente_30,2016,1933.405,9.636,12.031,12.492,36.206,8.469,17.155,0.574,6120.925,381.226,31.642,85.686,245.468,667.330,6.355,1.609,4857.693,-0.249,124.859,0.002,4.275,3.347,0.963,0.062,170.795,171.860,-74.680
Cliente_30,2019,323.263,9.928,10.074,1.115,45.824,5.065,33.613,1.065,1093.913,768.492,77.094,54.807,547.794,838.176,8.086,4.846,4782.451,-0.015,101.469,0.002,9.047,3.169,9.035,0.703,-28.910,53.009,-40.069
Cliente_30,2015,7645.624,9.336,18.734,14.940,37.410,7.504,38.505,3.673,7297.555,912.341,45.180,1.569,620.146,299.143,2.597,5.954,4996.377,-1.007,200.668,0.002,4.985,9.539,1.254,0.125,-96.527,-51.762,129.294
Cliente_30,2022,151.128,7.450,22.532,8.021,84.486,2.019,18.077,1.427,6290.157,565.926,63.019,88.388,557.991,920.464,5.098,3.635,5055.648,-2.024,302.449,0.001,41.855,7.896,2.809,0.090,40.256,64.960,-28.688
Cliente_30,2020,2699.317,6.624,18.220,6.236,51.521,8.009,28.187,3.087,9871.905,659.871,12.638,24.550,825.427,49.982,6.211,2.211,4893.708,-1.750,275.046,0.001,6.433,10.953,2.922,0.067,94.257,-93.945,-64.402
Cliente_30,2011,4131.027,7.288,16.232,11.160,48.022,9.441,20.003,1.660,4837.146,150.940,14.026,59.297,49.870,417.540,9.383,7.252,4774.942,-1.227,222.726,0.002,5.087,8.298,1.454,0.031,322.782,737.259,-22.718
Cliente_30,2005,7423.924,6.234,26.398,8.587,65.182,7.265,37.669,6.038,6886.854,868.950,21.082,48.095,149.108,179.070,1.838,3.470,4920.368,-3.235,423.453,0.001,8.972,16.030,3.074,0.126,128.132,20.094,88.765
Cliente_30,2012,9882.446,7.024,23.821,7.984,14.909,2.218,46.286,4.963,9338.983,179.688,62.633,41.605,653.624,672.418,3.694,5.743,4846.471,-2.391,339.117,0.001,6.723,10.722,2.984,0.019,-33.574,2.875,55.496
Cliente_31,2022,9271.127,5.591,7.158,6.243,22.218,6.084,43.630,7.547,3323.989,374.841,87.514,39.371,766.414,671.453,9.490,1.454,5055.648,-0.280,128.023,0.001,3.652,17.299,1.147,0.113,-55.012,-12.390,-84.677
Cliente_31,2009,6143.286,7.324,19.578,8.749,23.985,7.104,23.566,3.414,1982.273,38.358,31.726,86.616,745.809,273.382,8.236,4.452,5375.895,-1.673,267.296,0.001,3.376,14.487,2.238,0.019,173.018,-63.344,-45.940
Cliente_31,2013,4964.473,8.984,21.010,14.422,51.456,5.997,25.010,1.540,7584.267,202.896,33.406,12.468,23.458,158.339,6.167,1.775,5072.685,-1.339,233.874,0.002,8.581,6.158,1.457,0.027,-62.679,574.994,-71.215
Cliente_31,2019,7292.118,8.687,8.378,12.565,87.870,1.168,31.371,0.831,8093.189,93.512,77.179,31.787,758.735,115.346,2.541,4.527,4782.451,0.036,96.440,0.002,75.201,2.649,0.667,0.012,-58.814,-84.798,78.135
Cliente_31,2010,4977.913,6.037,2.967,3.313,90.634,6.197,16.639,2.939,786.378,506.489,10.727,5.359,639.212,958.340,3.802,7.342,4613.751,0.508,49.154,0.001,14.626,17.664,0.896,0.644,-50.042,49.925,93.091
Cliente_31,2008,8079.996,8.077,9.708,12.590,51.622,3.985,34.228,2.759,9227.917,799.226,98.245,84.964,210.636,560.066,9.030,9.021,5765.334,-0.202,120.203,0.001,12.953,8.060,0.771,0.087,-13.518,165.893,-0.096
Cliente_31,2016,8836.753,7.073,16.950,13.873,83.275,9.246,17.495,2.932,7644.518,905.051,52.099,87.316,201.355,103.273,5.865,6.665,4857.693,-1.396,239.636,0.001,9.007,16.760,1.222,0.118,67.597,-48.711,13.641
Cliente_31,2018,2327.984,5.227,23.244,7.447,93.501,8.162,14.674,0.990,5678.325,154.924,99.279,33.996,287.281,542.986,1.457,7.211,5248.009,-3.447,444.651,0.001,11.456,6.750,3.121,0.027,-65.758,89.009,395.087
Cliente_31,2019,2905.590,6.748,4.301,7.380,15.042,1.596,41.294,4.533,930.069,340.776,21.314,89.029,532.744,549.816,1.261,5.013,4782.451,0.363,63.739,0.001,9.425,10.977,0.583,0.366,317.713,3.205,297.525
Cliente_31,2011,1936.361,9.030,10.665,1.016,56.897,2.344,22.331,0.966,8023.703,483.988,4.619,11.207,773.014,271.781,9.130,4.201,4774.942,-0.181,118.106,0.002,24.276,4.325,10.501,0.060,142.648,-64.841,-53.989
Cliente_32,2022,2317.710,7.266,24.709,14.621,69.635,9.603,45.490,6.345,8899.265,9.111,36.565,66.586,72.674,789.139,6.201,2.018,5055.648,-2.400,340.044,0.001,7.251,13.949,1.690,0.001,82.103,985.858,-67.451
Cliente_32,2014,2238.721,5.151,24.106,6.065,17.010,1.626,46.130,3.236,885.375,986.435,86.264,48.012,16.692,604.825,8.621,5.334,4789.817,-3.680,467.957,0.001,10.459,7.015,3.974,1.114,-44.342,3523.423,-38.132
Cliente_32,2003,8611.102,7.377,10.450,5.440,93.778,1.979,35.445,4.195,4725.043,404.793,86.702,19.634,721.618,426.278,3.131,7.214,4970.480,-0.417,141.666,0.001,47.394,11.835,1.921,0.086,-77.354,-40.927,130.439
Cliente_32,2014,6169.804,6.757,19.834,12.302,61.677,8.327,10.007,1.836,7417.119,128.428,24.289,39.075,487.215,180.618,5.516,2.279,4789.817,-1.935,293.525,0.001,7.407,18.351,1.612,0.017,60.876,-62.929,-58.684
Cliente_32,2009,9128.703,7.306,23.980,9.069,53.797,7.942,15.869,1.077,9604.150,294.890,70.520,92.524,437.298,509.905,4.698,7.582,5375.895,-2.282,328.221,0.001,6.774,6.786,2.644,0.031,31.202,16.604,61.396
Cliente_32,2021,3921.377,5.854,16.450,11.873,63.295,4.410,15.969,3.022,781.741,369.854,40.033,84.156,990.227,552.498,5.915,9.852,5050.433,-1.810,280.998,0.001,14.352,18.923,1.386,0.473,110.220,-44.205,66.549
Cliente_32,2020,6996.447,8.840,12.624,6.813,51.662,5.449,31.250,2.894,6337.243,549.336,32.495,16.272,85.579,450.596,4.303,9.853,4893.708,-0.428,142.807,0.002,9.482,9.260,1.853,0.087,-49.923,426.527,128.994
Cliente_32,2022,6652.141,8.022,12.990,11.916,59.958,6.941,25.599,5.035,7981.184,54.074,38.896,99.748,642.601,355.952,9.804,8.010,5055.648,-0.619,161.923,0.002,8.638,19.669,1.090,0.007,156.447,-44.608,-18.301
Cliente_32,2014,7887.998,5.637,19.005,8.396,83.982,1.815,33.117,2.497,3125.685,703.651,38.775,67.337,416.440,186.605,6.113,5.184,4789.817,-2.372,337.156,0.001,46.276,7.541,2.264,0.225,73.660,-55.190,-15.195
Cliente_32,2015,8824.156,5.515,16.891,3.924,25.856,8.353,17.827,0.481,528.690,820.933,54.967,14.293,456.573,604.969,7.344,1.704,4996.377,-2.063,306.284,0.001,3.095,2.696,4.304,1.553,-73.996,32.502,-76.796
Cliente_33,2010,4210.740,7.366,9.058,12.214,23.874,6.780,38.224,0.680,2506.713,654.689,55.214,3.346,130.777,639.142,4.445,5.429,4613.751,-0.230,122.968,0.002,3.521,1.779,0.742,0.261,-93.939,388.725,22.121
Cliente_33,2017,9605.852,5.845,4.844,4.288,54.635,7.799,28.984,5.344,4459.375,391.763,67.607,10.102,656.738,922.773,3.994,2.295,5183.146,0.171,82.862,0.001,7.005,18.437,1.130,0.088,-85.058,40.508,-42.541
Cliente_33,2000,7982.434,5.258,9.148,10.661,99.423,2.044,15.806,2.072,8965.227,773.378,83.337,93.912,899.997,277.107,1.541,7.918,4620.370,-0.740,173.983,0.001,48.642,13.111,0.858,0.086,12.689,-69.210,414.003
Cliente_33,2015,2892.795,9.952,25.878,7.531,79.333,2.508,44.811,8.589,1489.394,749.342,2.184,66.004,566.503,427.556,9.600,2.965,4996.377,-1.600,260.032,0.002,31.627,19.167,3.436,0.503,2921.910,-24.527,-69.111
Cliente_33,2014,354.227,9.044,1.412,12.091,31.415,4.589,10.475,0.964,6403.712,734.579,10.672,83.710,967.198,903.488,3.382,6.790,4789.817,0.844,15.610,0.002,6.846,9.204,0.117,0.115,684.380,-6.587,100.771
Cliente_33,2016,9228.722,8.122,4.235,12.999,49.617,3.712,47.089,8.685,9329.004,589.136,11.287,95.098,896.106,770.111,4.965,9.213,4857.693,0.479,52.144,0.002,13.365,18.443,0.326,0.063,742.561,-14.060,85.562
Cliente_33,2015,7494.503,6.434,6.064,5.471,67.382,7.715,27.953,4.838,6646.394,195.731,45.148,64.170,695.958,324.081,5.425,7.439,4996.377,0.058,94.245,0.001,8.733,17.309,1.108,0.029,42.132,-53.434,37.105
Cliente_33,2018,7269.990,5.413,18.161,1.724,28.977,7.772,37.140,2.735,2665.098,338.069,22.722,71.099,254.082,162.804,9.357,1.930,5248.009,-2.355,335.541,0.001,3.728,7.364,10.536,0.127,212.907,-35.925,-79.379
Cliente_33,2023,5637.499,7.528,5.383,2.604,76.092,5.793,48.471,2.944,7000.852,690.588,29.046,12.878,467.489,74.923,6.493,1.656,5423.356,0.285,71.506,0.001,13.136,6.075,2.068,0.099,-55.665,-83.973,-74.490
Cliente_33,2010,615.116,9.257,13.953,14.042,41.057,4.418,37.315,1.070,9046.271,180.737,20.115,85.788,936.246,777.329,2.606,6.142,4613.751,-0.507,150.725,0.002,9.293,2.867,0.994,0.020,326.489,-16.974,135.693
Cliente_34,2018,5401.747,8.161,2.141,2.529,50.438,7.103,11.832,1.957,7584.322,324.911,14.982,77.989,772.790,500.388,4.257,9.717,5248.009,0.738,26.229,0.002,7.101,16.538,0.846,0.043,420.533,-35.249,128.257
Cliente_34,2000,34.070,9.794,12.141,3.300,99.625,8.868,38.052,1.149,434.132,975.877,42.100,2.547,692.666,950.348,7.850,5.270,4620.370,-0.240,123.960,0.002,11.234,3.020,3.679,2.248,-93.949,37.201,-32.871
Cliente_34,2016,9541.599,5.453,6.539,10.936,13.334,2.341,15.222,1.590,7404.428,576.391,69.933,49.210,206.954,627.564,5.858,2.587,4857.693,-0.199,119.910,0.001,5.697,10.446,0.598,0.078,-29.633,203.239,-55.836
Cliente_34,2022,8179.949,7.673,21.181,9.098,15.045,6.214,16.890,2.734,9248.689,138.192,55.787,1.629,640.186,782.800,2.973,7.031,5055.648,-1.760,276.036,0.002,2.421,16.184,2.328,0.015,-97.081,22.277,136.466
Cliente_34,2015,4821.181,9.805,26.997,7.594,80.900,9.323,11.998,0.623,1759.700,836.591,44.427,18.762,523.564,348.506,7.933,1.388,4996.377,-1.754,275.353,0.002,8.677,5.191,3.555,0.475,-57.770,-33.436,-82.503
Cliente_34,2015,5672.872,5.402,19.288,1.413,13.853,1.332,22.293,3.630,7855.135,793.309,92.642,9.825,412.619,5.565,6.934,6.804,4996.377,-2.570,357.032,0.001,10.401,16.285,13.647,0.101,-89.395,-98.651,-1.878
Cliente_34,2013,9350.487,7.298,11.419,8.338,20.637,2.274,41.748,3.798,4851.129,764.464,5.029,65.524,938.152,236.403,3.488,3.566,5072.685,-0.565,156.457,0.001,9.074,9.098,1.369,0.158,1202.870,-74.801,2.229
Cliente_34,2012,3589.824,8.833,3.461,4.962,82.639,6.884,28.247,4.638,1161.535,593.492,10.897,88.805,610.927,118.390,2.743,4.912,4846.471,0.608,39.185,0.002,12.004,16.419,0.697,0.511,714.959,-80.621,79.045
Cliente_34,2023,6818.676,8.239,19.351,8.242,70.058,5.241,16.828,3.309,8950.897,336.168,84.889,42.206,38.584,530.669,8.170,4.009,5423.356,-1.349,234.871,0.002,13.367,19.662,2.348,0.038,-50.281,1275.374,-50.932
Cliente_34,2002,4006.747,5.883,22.324,12.597,51.253,9.262,33.642,4.673,7214.309,121.625,61.632,80.934,180.820,96.588,7.167,8.246,5226.441,-2.795,379.467,0.001,5.534,13.890,1.772,0.017,31.318,-46.583,15.057
Cliente_35,2018,3261.996,9.639,2.730,9.367,35.125,1.046,28.098,2.842,8750.056,790.069,27.709,67.791,205.508,226.212,7.388,9.027,5248.009,0.717,28.320,0.002,33.590,10.116,0.291,0.090,144.651,10.075,22.179
Cliente_35,2018,981.543,7.275,4.959,2.964,75.702,9.822,19.620,1.333,5207.356,371.050,94.663,88.910,981.270,353.359,7.105,5.121,5248.009,0.318,68.159,0.001,7.708,6.792,1.673,0.071,-6.078,-63.990,-27.924
Cliente_35,2010,7377.741,6.937,25.698,14.567,76.256,1.361,32.339,4.645,6273.135,464.831,54.701,11.986,239.394,268.090,5.796,1.722,4613.751,-2.705,370.465,0.002,56.049,14.363,1.764,0.074,-78.089,11.987,-70.296
Cliente_35,2013,8698.993,5.682,14.299,12.898,32.199,5.236,10.497,1.816,2932.401,633.769,79.653,37.193,114.444,680.547,3.630,9.082,5072.685,-1.516,251.650,0.001,6.150,17.301,1.109,0.216,-53.306,494.654,150.153
Cliente_35,2006,3755.948,8.599,5.965,1.754,39.457,7.917,39.271,5.969,9695.776,860.522,78.981,62.294,479.015,277.868,6.589,3.595,5018.055,0.306,69.366,0.002,4.983,15.198,3.401,0.089,-21.128,-41.992,-45.430
Cliente_35,2023,2207.407,8.160,10.964,12.926,62.152,1.303,47.997,0.703,5414.808,71.628,9.015,37.192,939.209,64.306,8.199,9.610,5423.356,-0.344,134.357,0.002,47.714,1.464,0.848,0.013,312.554,-93.153,17.203
Cliente_35,2021,4710.432,9.878,26.706,7.594,90.264,5.780,15.308,1.476,1321.142,893.541,88.204,18.351,580.539,345.881,9.508,1.984,5050.433,-1.704,270.363,0.002,15.616,9.642,3.517,0.676,-79.194,-40.421,-79.131
Cliente_35,2010,4844.593,6.011,18.505,14.937,63.259,5.313,21.832,3.420,3467.656,333.573,73.840,56.320,959.145,486.741,8.279,3.483,4613.751,-2.079,307.857,0.001,11.906,15.665,1.239,0.096,-23.727,-49.253,-57.925
Cliente_35,2007,8904.998,5.636,23.897,9.078,23.407,8.182,35.906,6.323,4439.157,33.681,6.426,7.634,210.584,527.156,9.468,7.274,5175.817,-3.240,424.000,0.001,2.861,17.610,2.632,0.008,18.786,150.330,-23.175
Cliente_35,2003,1450.268,8.461,19.502,12.636,61.633,8.392,13.629,1.186,6447.200,426.476,94.587,71.224,745.272,123.587,1.591,5.467,4970.480,-1.305,230.491,0.002,7.345,8.702,1.543,0.066,-24.700,-83.417,243.694
Cliente_36,2009,3428.582,5.859,21.643,2.334,37.140,3.982,27.684,0.763,7455.910,671.886,85.527,99.267,208.576,415.099,8.511,6.884,5375.895,-2.694,369.410,0.001,9.328,2.757,9.273,0.090,16.066,99.016,-19.115
Cliente_36,2006,6460.866,6.300,9.272,4.276,92.839,7.349,37.566,0.768,5811.077,88.290,37.593,80.565,475.139,556.258,3.735,9.034,5018.055,-0.472,147.176,0.001,12.633,2.046,2.168,0.015,114.306,17.073,141.864
Cliente_36,2002,3263.738,7.421,29.223,3.175,46.411,5.265,39.266,5.177,5656.180,512.276,37.910,29.575,867.658,710.537,6.034,4.754,5226.441,-2.938,393.776,0.001,8.815,13.185,9.204,0.091,-21.987,-18.109,-21.200
Cliente_36,2000,5933.979,9.854,25.341,8.656,54.948,3.608,46.007,5.560,8683.591,195.256,29.180,80.762,986.652,755.489,5.171,5.427,4620.370,-1.572,257.171,0.002,15.227,12.085,2.927,0.022,176.767,-23.429,4.949
Cliente_36,2007,6968.939,8.849,21.093,1.003,23.085,9.496,15.577,0.813,6280.332,318.440,35.784,97.066,67.050,137.790,1.242,7.191,5175.817,-1.384,238.372,0.002,2.431,5.221,21.030,0.051,171.253,105.505,479.158
Cliente_36,2016,8419.237,5.237,20.324,5.096,51.224,9.826,32.038,6.016,4760.931,605.473,97.775,42.959,960.135,186.820,1.022,3.203,4857.693,-2.881,388.121,0.001,5.213,18.778,3.989,0.127,-56.063,-80.542,213.375
Cliente_36,2020,4453.118,6.766,5.451,5.486,38.820,6.164,22.323,1.402,6942.757,943.459,87.556,89.746,756.358,382.388,3.364,2.074,4893.708,0.194,80.570,0.001,6.298,6.281,0.994,0.136,2.502,-49.444,-38.343
Cliente_36,2010,3041.519,7.280,7.899,5.907,10.386,2.324,26.065,0.372,1196.717,908.539,9.672,14.817,89.360,554.313,9.604,3.495,4613.751,-0.085,108.512,0.002,4.470,1.428,1.337,0.759,53.193,520.316,-63.610
Cliente_36,2013,1320.411,5.832,2.193,8.328,76.465,6.087,43.635,4.900,5125.746,361.704,73.057,59.131,410.051,43.191,8.508,9.949,5072.685,0.624,37.611,0.001,12.562,11.230,0.263,0.071,-19.063,-89.467,16.934
Cliente_36,2018,7893.693,9.621,10.182,2.858,97.804,9.162,27.839,2.635,5753.062,148.798,44.978,9.522,914.496,826.422,5.253,1.601,5248.009,-0.058,105.836,0.002,10.675,9.464,3.563,0.026,-78.830,-9.631,-69.530
Cliente_37,2008,1633.925,5.916,3.779,2.741,20.257,6.379,15.014,2.412,1018.120,206.196,50.563,90.264,957.790,136.776,9.786,2.614,5765.334,0.361,63.878,0.001,3.176,16.068,1.379,0.203,78.519,-85.720,-73.291
